nombre,valor_bruto,utilidad,iva,valor_venta
Café Americano,3500,1400,665,5565
Té Chai,5800,2320,1102,9222
Croissant,4800,1920,912,7632
Jugo Naranja,4600,1840,874,7314
Panini de Pavo y Queso,7000,2800,1330,11130
Pastel de Zanahoria,7100,2840,1349,11289
Espresso Doble,5300,2120,1007,8427
Batido de Frutas,4100,1640,779,6519
Muffin,6500,2600,1235,10335
Ensalada,6000,2400,1140,9540
Chocolate Caliente,7700,3080,1463,12243
Tarta de Frambuesa,5100,2040,969,8109
Sándwich de Huevo,4800,1920,912,7632
Galletas de Avena,4000,1600,760,6360
Frappé de Caramelo,6900,2760,1311,10971
